25.895274,-17.986708,906
25.895669,-17.98638,907
25.896055,-17.986137,904
25.896362,-17.985972,905
25.896679,-17.985727,905
25.89706,-17.985562,905
25.897374,-17.985384,899
25.897689,-17.985205,899
25.898005,-17.985026,891
25.898402,-17.984826,891
25.898746,-17.984577,891
25.899092,-17.984379,850
25.899512,-17.983936,850
25.900036,-17.983426,750
25.90053,-17.982953,717
25.90089,-17.982693,702
25.901065,-17.98252,702
25.90136,-17.982484,720
25.901797,-17.982303,720
25.902077,-17.982188,720
25.902366,-17.982051,731
25.902578,-17.981915,842
25.902871,-17.98171,842
25.903022,-17.981544,850
25.903253,-17.981251,850
25.903431,-17.980965,890
25.903617,-17.980604,890
25.903724,-17.980364,893
25.903944,-17.979924,895
25.90409,-17.979481,893
25.904259,-17.97893,893
25.904338,-17.97852,886
25.904412,-17.978063,886
25.904191,-17.97798,886
25.903804,-17.977985,888
25.903409,-17.978067,888
25.903077,-17.97824,888
25.902732,-17.978503,883
25.90239,-17.978763,886
25.902116,-17.979103,874
25.901781,-17.979348,874
25.901527,-17.979584,874
25.901198,-17.979874,856
25.900892,-17.980103,856
25.900657,-17.980345,856
25.900351,-17.98052,766
25.900126,-17.980679,766
25.899901,-17.980838,766
25.899676,-17.980997,720
25.899377,-17.981151,720
25.898992,-17.981387,706
25.898821,-17.98161,714
25.898498,-17.981778,714
25.898098,-17.982294,745
25.897815,-17.982578,769
25.89723,-17.983403,841
25.896882,-17.983566,888
25.896479,-17.983735,902
25.896247,-17.983827,901
25.895786,-17.984003,901
25.89541,-17.98409,902
25.895034,-17.984181,902
25.894722,-17.984359,902
25.894412,-17.984534,903
25.89403,-17.984706,908
25.893586,-17.984788,908
25.89315,-17.984786,908
25.893005,-17.984785,908
25.892423,-17.984784,909
25.892059,-17.984786,912
25.891935,-17.984528,910
25.891971,-17.984088,910
25.892073,-17.983735,910
25.892234,-17.983561,904
25.892778,-17.983208,904
25.893162,-17.983031,901
25.89363,-17.982764,896
25.893942,-17.982591,893
25.894272,-17.982293,893
25.894655,-17.982194,897
25.895034,-17.981714,874
25.89541,-17.981028,760
25.895808,-17.980564,742
25.896078,-17.980305,706
25.8964,-17.980138,706
25.896789,-17.980064,706
25.897094,-17.979962,706
25.897306,-17.980025,706
25.897751,-17.980018,706
25.898055,-17.979913,716
25.898424,-17.979904,716
25.898807,-17.979677,716
25.898967,-17.979544,794
25.899297,-17.979248,794
25.899547,-17.978965,794
25.899731,-17.978534,850
25.899827,-17.978308,850
25.900081,-17.978015,850
25.900182,-17.977716,876
25.90024,-17.977203,876
25.900293,-17.976762,887
25.900247,-17.976494,887
25.899787,-17.976419,887
25.899629,-17.976423,894
25.899305,-17.976523,894
25.898892,-17.976717,894
